name,compatibility,description
Explosive Delivery,chest,"Whenever you throw a skill, 1.5 seconds after landing, it creates an explosion damaging enemies within 5m.  Afterwards explosions will occur evey 5s.  Damage scales with skill tier dealing 25-100% damage of a concussion grenade.   Occurs once per skill.   Applies to Remote Pulse, All Turrets, All Hives, Explosive Seeker, Cluster Seeker, Mender Seeker, Decoy, All Traps."
Kinetic Momentum,chest,"When in combat, each skill generates stacks while active or not on cooldown  Each stack increases your total skill damage by 1.5% and total skill repair by 2%.  Up to 15 (18) stacks per skill. Stacks are lost when skills go on cooldown."
Gunslinger,chest,Weapon swapping increases total weapon damage by 23% (28%) for 5s.  This buff is lost for 5s if you weapon swap while it is active.
Focus,chest,"Increases total weapon damage by 5% (6%) every second you are aiming while scoped 8x or higher, up to 50% (60%)."
Spark,chest,Damaging an enemy with a skill increases total weapon damage by 15% (18%) for 15s (20s).
Obliterate,chest,Critical hits increase total weapon damage by 1% for 10s. Stacks up to 20 (24) times.
Intimidate,chest,"While you have bonus armour, gain 3 stacks each second up to a max of 9 (10). Each stack increases total weapon damage by 4% to enemies within 10m.  All stacks are lost when you have no bonus armour."
Headhunter,chest,"After killing an enemy with a headshot, your next weapon hit within 30s deals 125% (150%) of that killing blow's damage in addition to it. Damage is capped to 800% of your weapon damage. This is raised to 1250% if your headshot damage is greater than 150%."
Empathic Resolve,chest,"Repairing an ally, increases their total weapon and skill damage by 3-15% for 10s. 1-7% if self.  Effectiveness increased by your skill tier."
Overwatch,chest,"After staying in cover for 10s (8s), increase your and all allies' total weapon and skill damage by 12% (14%) as long as you remain in cover or in a cover-to-cover move."
Glass Cannon,chest,All damage you deal is amplified by 25% (30%).  All damage you take is amplified by 50% (60%).
Spotter,chest,Amplifies total weapon and skill damage by 15% (20%) to pulsed enemies.
Unbreakable,chest,"When your armor is depleted, repair 95% (100%) of your armor. 60s (55s) cool down."
Vanguard,chest,Deploying a shield makes it invulnerable for 5s and grants 45% (50%) of your armor as bonus armor to all other allies for 20s.   Cooldown: 25s
Protected Reload,chest,Grants +20% (40%) bonus armor while reloading.  Grants 0%-18% (0-30%) of your armor as bonus armor to all other allies when they are reloading  Each blue core attribute adds 3% to the bonus armour Maximum is 18%
Entrench,chest,"If you are below 30% armor, headshots from cover repair 20% of your armor.  Cooldown: 2 (1) seconds."
Efficient,chest,Using an armor kit has a 50% (75%) chance to not consume the armor kit. Specialization armor kit bonuses are increased by 100%.  Requires 10 seconds to arm talent
Mad Bomber,chest,"Grenade Radius is increased by 50% (75%) Grenade that kill an enemy are refunded. Grenades can now be ''cooked'' by holding the fire button, making them explode earlier. Gain 15% bonus armor while aiming grendes"
Braced,chest,While in cover weapon handling is increased by 45% (50%).
Skilled,chest,Skill kills have a 25% (30%) chance to reset skill cooldowns.
Tag Team,chest,The last enemy you have damaged with a skill is marked.  Dealing weapon damage to that enemy consumes the mark to reduce active cooldowns by 6s.   Cooldown: 4s
Trauma,chest,Applies blind to an enemy hit in the head. Cooldown: 30 (20) seconds. Applies bleed to an enemy hit in the chest. Cooldown: 30 (20) seconds.
Tamper Proof,chest,"Enemies that walk within 3 meters of your hive, turret, remote pulse, or decoy are shocked. Arm time: 2 seconds. Cooldown per skill: 10 seconds.(8s)"
Reassigned,chest,Killing an enemy adds 1 round of a random special ammo into your sidearm. Cooldown: 15 seconds.
Combined Arms,backpack,Shooting an enemy increases total skill damage by 25% (30%) for 3s.
Tech Support,backpack,Skill kills increase total skill damage by 25% for 25s (27s).
Shock and Awe,backpack,Applying a status effect to an enemy increases total skill damage and repair by 20% for 20s (27s).
Vigilance,backpack,Increases total weapon damage by 25%. Taking damage disables this buff for 4s (3s).
