name,compatibility,description
Breadbasket,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Landing body shots adds a stack of bonus +55% headshot damage to the next headshot for 10s. Max stack is 3.
Perfect Breadbasket,N/A,Landing body shots adds a stack of bonus +70% headshot damage to the next headshot for 10s. Max stack is 2.
Killer,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Killing an enemy with a critical hit grants +70% critical hit damage for 10s.
Perfect Killer,N/A,Killing an enemy with a critical hit grants +90% critical hit damage for 10s.
Preservation,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Killing an enemy repairs 10% armor over 5s. Headshot kills improve the repair by an additional 10%
Perfect Preservation,N/A,Killing an enemy repairs 15% armor over 5s. Headshot kills improve the repair by an additional 15%
Optimist,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Weapon damage is increased by +3.5% for every 10% ammo missing from the magazine.
Perfect Optimist,N/A,Weapon damage is increased by +4.5% for every 10% ammo missing from the magazine.
Strained,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Gain 10% critical hit damage for every 0.5s you are firing. Stacks up to 5 times.
Perfect Strained,N/A,Gain 10% critical hit damage for every 0.5s you are firing. Stacks up to 8 times.
Close & Personal,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Killing a target within 7m grants +30% weapon damage for 10s.
Perfect Close & Personal,N/A,Killing a target within 7m grants +38% weapon damage for 10s.
Fast Hands,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Critical hits add a stack of 3% reload speed bonus. Max stack is 40.
Perfect Fast Hands,N/A,Critical hits add a stack of 5% reload speed bonus. Max stack is 40.
Sadist,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,"Amplifies +30% weapon damage to bleeding enemies. After 4 kills, applies bleed to the next enemy you hit."
Perfect Sadist,N/A,"Amplifies +35% weapon damage to bleeding enemies. After 3 kills, applies bleed to the next enemy you hit."
Eyeless,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,"Amplifies +30% weapon damage to blinded enemies. After 4 kills, applies blind to the next enemy you hit."
Perfect Eyeless,N/A,"Amplifies +35% weapon damage to blinded enemies. After 3 kills, applies blind to the next enemy you hit."
Ignited,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,"Amplifies +25% weapon damage to burning enemies.  After 4 kills, applies burning to the next enemy you hit."
Perfect Ignited,N/A,"Amplifies +30% weapon damage to burning enemies. After 3 kills, applies burning to the next enemy you hit."
Vindictive,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Killing an enemy with a status effect applied grants you and all allies within 15m 16% Critical hit chance and 16% critical hit damage for 20s.
Perfect Vindictive,N/A,Killing an enemy with a status effect applied grants you and all allies within 15m (20m) 21% Critical hit chance and 21% critical hit damage for 20s.
Ranger,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Amplifies weapon damage by 2% for every 4m you are away from your target.
Perfect Ranger,N/A,Amplifies weapon damage by 2% for every 4m (3m) you are away from your target.
Steady Handed,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,"Hits grant a stack of +1% Accuracy and Stability. At 100 stacks, consumes stacks to refill the magazine."
Perfect Steady Handed,N/A,"Hits grant a stack of +1% Accuracy and Stability. At 75 stacks, consumes stacks to refill the magazine."
Spike,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Headshots grant +20% skill damage for 15s.
Perfect Spike,N/A,Headshots grant +25% skill damage for 15s.
Perpetuation,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Headshots grant +75% status effect damage and duration to the next status effect you apply. Cooldown: 20s.
Perfect Perpetuation,N/A,Headshots grant +75% status effect damage and duration to the next status effect you apply. Cooldown: 20s (16s).
Reformation,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Headshots grant +60% skill repair for 15s.
Perfect Reformation,N/A,Headshots grant +80% skill repair for 15s.
Future Perfect,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Weapon kills grant +1 skill tier for 15s. Stacks up to 3 times. Weapon kills at skill tier 6 grant overcharge for 15s. Overcharge Cooldown: 90s
Future Perfection,N/A,Weapon kills grant +1 skill tier for 15s. Stacks up to 3 times. Weapon kills at skill tier 6 grant overcharge for 15s. Overcharge Cooldown: 90s
Flatline,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,"Amplifies weapon damage by 15% to pulsed enemies. After 4 kills, applies pulse to the next enemy you hit."
Perfect Flatline,N/A,"Amplifies weapon damage by 20% to pulsed enemies. After 3 kills, applies pulse to the next enemy you hit."
Sledgehammer,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Dealing damage with a grenade applies a mark on target. Targets with mark will take 15% more damage to armor from the agent that applied the mark and have a -20% movement speed. Mark will disappear after 10 seconds.
Perfect Sledgehammer,N/A,Dealing damage with a grenade applies a mark on target. Targets with mark will take 20% more damage to armor from the agent that applied the mark and have a -30% movement speed. Mark will disappear after 10 seconds. (As of TU 22.2 the marked targets take the Amp damage from all sources including other agents)
Thunder Strike,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,"Amplifies 30% extra damage to shocked targets. After 4 kills, applies shock to the next enemy you hit."
Perfect Thunder Strike,N/A,"Amplifies 35% extra damage to shocked targets. After 3 kills, applies shock to the next enemy you hit."
In Sync,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Hitting an enemy grants +15% skill damage for 5s. Using a skill or damaging an enemy with a skill grants +15% weapon damage for 5s. Damage increases are doubled while both buffs are active at the same time.
Perfect In Sync,N/A,Hitting an enemy grants +20% skill damage for 5s. Using a skill or damaging an enemy with a skill grants +20% weapon damage for 5s. Damage increases are doubled while both buffs are active at the same time.
Pressure Point,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Amplifies weapon damage by 15% to enemies under status effects.
Perfect Pressure Point,N/A,Amplifies weapon damage by 20% to enemies under status effects.
Streamline,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Increase Weapon Damage by 42% when no Skills are Deployed or on Cooldown.
Perfect Streamline,N/A,Increase Weapon Damage by +47% when no Skills are Deployed or on Cooldown.
Immobilize,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Amplifies weapon damage by 20% to ensared enemies. After 4 kills applies Ensnare to the next enemy you hit.
Perfect Immobilize,N/A,Amplifies weapon damage by 25% to ensared enemies. After 3 kills applies Ensnare to the next enemy you hit.
Soft Spot,assault-rifle|smg|lmg|rifle|marksman-rifle|shotgun|pistol,Destroying a Weakpoint grants 19% Weapon Damage for 15s.
Perfect Soft Spot,N/A,Destroying a Weakpoint grants 24% Weapon Damage for 15s.
Rifleman,rifle,Landing headshots adds a stack of bonus +10% weapon damage for 5s.  Max stack is 5. Additional headshots refresh the duration.
Perfect Rifleman,N/A,Landing headshots adds a stack of bonus +11% weapon damage for 5s. Max stack is 6. Additional headshots refresh the duration.
Boomerang,rifle,Critical hits have a 50% chance to return the bullet to the magazine. If a bullet is returned to the magazine the next shot gains 40% increased damage.
Perfect Boomerang,N/A,Critical hits have a 75% chance to return the bullet to the magazine. If a bullet is returned to the magazine the next shot gains 50% increased damage.
Lucky Shot,marksman-rifle|pistol|rifle,Magazine capacity is increased by 20%. Missed shots from cover have a 100% chance to return to the magazine.
Perfect Lucky Shot,N/A,Magazine capacity is increased by 30%. Missed shots from cover have a 100% chance to return to the magazine.
Determined,marksman-rifle|pistol|rifle,After killing an enemy with a headshot the next shot landed on any enemy will be a guaranteed headshot.
Perfect Determined,N/A,After killing an enemy with a headshot the next shot landed on any enemy will be a guaranteed (critical) headshot.
Behind You,marksman-rifle|rifle,Amplifies weapon damage by +20% to enemies that are not targeting you.
Perfect Behind You,N/A,Amplifies weapon damage by +25% to enemies that are not targeting you.
Precision Strike,assault-rifle|lmg|marksman-rifle|rifle,Killing enemies farther than 20m builds up stacks. Max stack is 3. Hitting an enemy within 20m will use all stacks to provide 20% amplified damage to enemies within 20m for 5s.
Perfect Precision Strike,N/A,Killing enemies farther than 20m builds up stacks. Max stack is 2. Hitting an enemy within 20m will use all stacks to provide +35% amplified damage to enemies within 20m for 5s.
Near Sighted,assault-rifle,Receive +80% stability at the cost of -35% optimal range.
Perfect Near Sighted,N/A,Receive +100% stability at the cost of -35% optimal range.
On Empty,assault-rifle,Reloading from empty grants +60% weapon handling for 10s.
Perfect On Empty,N/A,Reloading from empty grants +80% weapon handling for 10s.
Measured,assault-rifle|lmg|smg,The top half of the magazine has 25% rate of fire and -25% weapon damage. The bottom half of the magazine has -18% rate of fire and +30% total weapon damage.
Perfect Measured,N/A,The top half of the magazine has 25% rate of fire and -30% weapon damage. The bottom half of the magazine has -18% rate of fire and +38% total weapon damage.
